combo_id,sl_pct,sl_rank,tp_pct,tp_rank,profit_pct,calmar,sharpe,sortino,drawdown_pct,dd_days,profit_factor,win_rate,trades,tpd,cond_tp_count,cond_tp_avg_pct
sl10_slr80_tp15_tpr70,0.1,0.8,0.15,0.7,59.27,5.748,0.455,2.545,36.78,102.0,1.323,30.5,348,0.442,61,60.18
sl10_slr80_tp30_tpr70,0.1,0.8,0.3,0.7,52.81,4.86,0.416,2.307,39.3,329.8,1.288,30.1,345,0.438,37,88.51
sl10_slr80_tp40_tpr70,0.1,0.8,0.4,0.7,54.52,5.286,0.43,2.425,36.72,98.2,1.314,31.8,340,0.431,26,109.18
sl10_slr80_tp50_tpr70,0.1,0.8,0.5,0.7,50.03,5.006,0.412,2.268,33.68,98.2,1.304,32.2,335,0.425,18,130.36
sl10_slr80_tp20_tpr75,0.1,0.8,0.2,0.75,61.68,5.81,0.474,2.687,38.91,83.5,1.333,30.9,343,0.435,53,67.41
sl10_slr80_tp20_tpr80,0.1,0.8,0.2,0.8,81.47,8.074,0.556,3.027,40.16,84.2,1.353,32.1,392,0.497,76,58.11
sl10_slr80_tp20_tpr85,0.1,0.8,0.2,0.85,94.4,9.522,0.612,3.306,42.01,101.2,1.354,32.6,426,0.541,88,52.95
sl10_slr80_tp20_tpr90,0.1,0.8,0.2,0.9,90.91,8.376,0.734,3.197,43.87,125.8,1.298,33.5,492,0.624,117,45.02
sl05_slr80_tp10_tpr70,0.05,0.8,0.1,0.7,71.61,8.117,0.567,2.852,29.19,89.6,1.436,28.7,356,0.452,75,48.52
sl05_slr80_tp30_tpr70,0.05,0.8,0.3,0.7,65.5,6.625,0.535,2.589,33.61,166.8,1.412,28.6,346,0.439,36,86.27
sl05_slr80_tp40_tpr70,0.05,0.8,0.4,0.7,61.2,6.226,0.501,2.493,33.41,165.6,1.389,27.5,346,0.439,26,107.07
sl05_slr80_tp50_tpr70,0.05,0.8,0.5,0.7,57.39,6.103,0.481,2.386,30.79,312.2,1.375,28.2,344,0.437,20,122.24
sl15_slr80_tp10_tpr70,0.15,0.8,0.1,0.7,63.17,5.899,0.473,2.908,39.03,334.0,1.339,34.5,342,0.434,79,48.54
sl15_slr80_tp30_tpr70,0.15,0.8,0.3,0.7,56.63,5.105,0.449,2.814,39.73,98.7,1.326,33.9,327,0.415,37,84.07
sl15_slr80_tp40_tpr70,0.15,0.8,0.4,0.7,47.88,4.262,0.396,2.476,38.97,329.7,1.289,34.5,325,0.412,24,110.54
sl15_slr80_tp50_tpr70,0.15,0.8,0.5,0.7,45.37,4.214,0.358,2.154,38.34,329.7,1.257,34.5,325,0.412,20,133.15
sl20_slr80_tp10_tpr70,0.2,0.8,0.1,0.7,74.14,6.081,0.526,3.146,47.23,337.8,1.403,35.8,313,0.397,79,48.45
sl20_slr80_tp30_tpr70,0.2,0.8,0.3,0.7,64.18,5.687,0.472,2.969,41.35,106.2,1.387,35.2,290,0.368,36,85.41
sl20_slr80_tp40_tpr70,0.2,0.8,0.4,0.7,57.83,4.895,0.433,2.674,42.88,183.9,1.359,34.0,288,0.365,23,116.36
sl20_slr80_tp50_tpr70,0.2,0.8,0.5,0.7,59.52,5.155,0.437,2.736,41.99,183.9,1.369,34.7,285,0.362,20,130.7
sl10_slr70_tp20_tpr75,0.1,0.7,0.2,0.75,54.95,4.637,0.433,2.025,44.49,323.6,1.31,35.9,295,0.374,49,67.34
sl10_slr70_tp20_tpr80,0.1,0.7,0.2,0.8,113.12,12.639,0.684,3.504,36.72,84.2,1.563,37.3,316,0.401,67,59.67
sl10_slr70_tp20_tpr85,0.1,0.7,0.2,0.85,112.19,11.503,0.679,3.196,42.37,100.2,1.429,37.4,364,0.462,88,53.85
sl10_slr70_tp20_tpr90,0.1,0.7,0.2,0.9,111.33,9.677,0.722,3.188,52.34,70.8,1.383,38.2,406,0.515,107,47.64
sl10_slr90_tp20_tpr75,0.1,0.9,0.2,0.75,79.08,7.625,0.643,5.381,38.67,78.8,1.358,28.1,469,0.595,69,59.01
sl10_slr90_tp20_tpr80,0.1,0.9,0.2,0.8,95.64,9.703,0.766,6.111,39.06,93.5,1.373,27.5,517,0.656,85,54.97
sl10_slr90_tp20_tpr85,0.1,0.9,0.2,0.85,108.11,10.116,0.86,7.21,45.94,82.6,1.359,27.6,588,0.746,103,52.48
sl10_slr90_tp20_tpr90,0.1,0.9,0.2,0.9,86.44,7.32,0.831,5.588,46.33,91.7,1.257,28.7,697,0.885,133,44.6
